Code,Species
1,Acanthochelys_pallidipectoris_HBS121003
2,Acanthochelys_spixii_HBS121001
3,Aldabrachelys_gigantea_HBS118599
4,Aldabrachelys_sp_HBS121013
5,Amyda_cartilaginea_FMNH258869
6,Apalone_ferox_CAS202549
7,Apalone_mutica_HBS108560
8,Apalone_spinifera_HBS23197
9,Astrochelys_radiata_HBS117743
10,Astrochelys_yniphora_HBS119036
11,Batagur_baska_AMCC166654
12,Batagur_borneoensis_HBS112448
13,Batagur_dhongoka_AMNH166661
14,Batagur_kachuga_FMNH224128
15,Batagur_trivittata_HBS112440
16,Caretta_caretta_HBS112700
17,Carettochelys_insculpta_HBS119093
18,Chelodina_burrungandjii_000670M
19,Chelodina_canni_657
20,Chelodina_colliei_231
21,Chelodina_expansa_AMR125066
22,Chelodina_gunaleni_LACM183224
23,Chelodina_longicollis_AMR123050
24,Chelodina_mccordi_493
25,Chelodina_novaeguineae_429
26,Chelodina_parkeri_AA042607
27,Chelodina_pritchardi_AA21811
28,Chelodina_reimanni_451
29,Chelodina_rugosa_HBS32056
30,Chelodina_steindachneri_ANWCR5058
31,Chelodina_timorensis_AMNH167209
32,Chelonia_mydas_HBS109887
33,Chelonoidis_abingdoni_HBS117543
34,Chelonoidis_carbonaria_HBS117901
35,Chelonoidis_chathamensis_HBS117534
36,Chelonoidis_chilensis_HBS124031
37,Chelonoidis_denticulata_MVZ175382
38,Chelonoidis_ephyppium_HBS117540
39,Chelonoidis_hoodensis_HBS117531
40,Chelonoidis_porteri_HBS117537
41,Chelus_fimbriatus_HBS32240
42,Chelydra_acutirostris_HBS29330
43,Chelydra_rossignonii_HBS29331
44,Chelydra_serpentina_HBS23551
45,Chersina_angulata_HBS112643
46,Chitra_chitra_HBS125606
47,Chitra_indica_HBS125613
48,Chitra_vandijki_HBS125628
49,Chrysemys_dorsalis_HBS118632
50,Chrysemys_picta_HBS27134
51,Claudius_angustatus_HBS121589
52,Clemmys_guttata_FMNH265273
53,Cuora_amboinensis_FMNH255262
54,Cuora_aurocapitata_FMNH261570
55,Cuora_bourreti_FMNH261574
56,Cuora_flavomarginata_HBS41895
57,Cuora_galbinifrons_FMNH255694
58,Cuora_mccordi_HBS41892
59,Cuora_mouhotii_HBS41865
60,Cuora_pani_HBS117865
61,Cuora_picturata_FMNH261575
62,Cuora_trifasciata_KFBG030278065
63,Cuora_yunnanensis_KIZPG1
64,Cuora_zhoui_HBS41855
65,Cyclanorbis_senegalensis_HBS16390
66,Cyclemys_atripons_FMNH262710
67,Cyclemys_dentata_HBS117903
68,Cyclemys_fusca_CAS210070
69,Cyclemys_oldhami_USNMFS35571
70,Cyclemys_pulchristriata_FMNH259050
71,Cyclemys_sp_CAS208423
72,Cyclemys_sp_FMNH267458
73,Cycloderma_aubryi_FMNH98752
74,Cycloderma_frenatum_HBS117691
75,Deirochelys_rchrysea_HBS108680
76,Dermatemys_mawii_HBS116865
77,Dermochelys_coriacea_MVZ149847
78,Dogania_subplana_USNM572079
79,Elseya_Sth_Alligator_213
80,Elseya_albagula_AMR123067
81,Elseya_branderhorsti_AA42626
82,Elseya_ddentata_261
83,Elseya_irwini_AA37087
84,Elseya_lavarackorum_321
85,Elseya_novaeguineae_AA036553
86,Elusor_macrurus_253
87,Emydura_macquarii_HBS40172
88,Emydura_subglobosa_244
89,Emydura_tanybaraga_AMR125469
90,Emydura_victoriae_674
91,Emys_blandingii_HBS116243
92,Emys_marmorata_HBS39734
93,Emys_orbicularis_HBS108690
94,Emys_pallida_HBS115911
95,Emys_trinacris_IPMB4706
96,Eretmocelys_imbricata_HBS112685
97,Erymnochelys_madagascariensis_HBS103217
98,Geochelone_elegans_MVZ244882
99,Geochelone_platynota_HBS119441
100,Geochelone_sulcata_AMCC111025
101,Geoclemys_hamiltonii_HBS108665
102,Geoemyda_japonica_AMNH166658
103,Geoemyda_spengleri_AMNH106625
104,Glyptemys_insculpta_HBS108711
105,Glyptemys_muhlenbergii_HBS108716
106,Gopherus_agassizii_GOAG01
107,Gopherus_berlandieri_GOBE01
108,Gopherus_flavomarginatus_GOFL01
109,Gopherus_morafkai_GOAG03
110,Gopherus_morafkai_Sinaloa_LC02
111,Gopherus_polyphemus_HBS108684
112,Graptemys_barbouri_RCT277
113,Graptemys_caglei_RCT431
114,Graptemys_ernsti_RCT276
115,Graptemys_flavimaculata_RCT140
116,Graptemys_geographica_RCT396
117,Graptemys_gibbonsi_RCT170
118,Graptemys_ndelticola_RCT291
119,Graptemys_oculifera_RCT26
120,Graptemys_oouachitensis_RCT406
121,Graptemys_pearlensis_RCT242
122,Graptemys_ppseudogeographica_RCT379
123,Graptemys_pulchra_RCT258
124,Graptemys_versa_RCT327
125,Hardella_thurjii_AMNH125654
126,Heosemys_annandalii_FMNH259074
127,Heosemys_depressa_HBS112432
128,Heosemys_grandis_HBS108666
129,Heosemys_spinosa_HBS109889
130,Hompous_areolatus_HBS124034
131,Hompous_boulengeri_AMCC106886
132,Hompous_signatus_HBS122118
133,Hydromedusa_tectifera_DZ10401
134,Indotestudo_elongata_FMNH259056
135,Indotestudo_forstenii_HBS108628
136,Indotestudo_travancorica_AMCC142999
137,Kinixys_belliana_HBS112791
138,Kinixys_erosa_HBS124036
139,Kinixys_homeana_HBS125085
140,Kinixys_speckii_HBS112790
141,Kinixys_zombensis_HBS117690
142,Kinosternon_acuta_HBS117455
143,Kinosternon_arizonense_CAS228101
144,Kinosternon_baurii_HBS108574
145,Kinosternon_chimalhuaca_HBS120895
146,Kinosternon_creaseri_K35
147,Kinosternon_dunni_K38
148,Kinosternon_durangoense_UF108889
149,Kinosternon_flavescens_HBS107613
150,Kinosternon_herrerai_AMNH118236
151,Kinosternon_hirtipes_5L5L2R
152,Kinosternon_integrum_JAC21644
153,Kinosternon_leucostomum_USNM559573
154,Kinosternon_oaxacae_HBS120899
155,Kinosternon_scorpioides_cruentatum_HBS119039
156,Kinosternon_sonoriense_HBS119037
157,Kinosternon_subrubrum_HBS119499
158,Lepidochelys_olivacea_HBS125086
159,Leucocephalon_yuwonoi_HBS118604
160,Lissemys_punctata_HBS125629
161,Lissemys_scutata_USNM520643
162,Macrochelys_temminckii_HBS108582
163,Malaclemys_terrapin_MVZ137745
164,Malacochersus_tornieri_HBS121010
165,Malayemys_subtrijuga_FMNH258868
166,Manouria_eemys_HBS112449
167,Manouria_impressa_HBS119444
168,Mauremys_annamensis_FMNH262238
169,Mauremys_caspica_MVZ230212
170,Mauremys_japonica_HBS116253
171,Mauremys_leprosa_MVZ178059
172,Mauremys_mutica_MVZ230476
173,Mauremys_nigricans_LACM183201
174,Mauremys_reevesii_HBS113152
175,Mauremys_rivulata_AMNH168666
176,Mauremys_sinensis_MVZ230479
177,Melanochelys_trijuga_AMNH168668
178,Mesoclemmys_gibbus_BPN1497
179,Mesoclemmys_hogei_HBS117946
180,Mesoclemmys_nasuta_HBS117905
181,Mesoclemmys_zuliae_HBS117467
182,Morenia_ocellata_USNMFS36669
183,Morenia_petersi_FMNH260378
184,Myuchelys_bellii_187
185,Myuchelys_georgesi_154
186,Myuchelys_latisternum_AMR120997
187,Myuchelys_purvisi_129
188,Nilssonia_formosa_HBS125636
189,Nilssonia_gangetica_HBS125646
190,Nilssonia_hurum_HBS125638
191,Notochelys_platynota_FMNH267641
192,Orlitia_borneensis_AMNH166663
193,Palea_steindachneri_HBS119016
194,Pangshura_smithii_AMNH166664
195,Pangshura_sylhetensis_HBS124028
196,Pangshura_tecta_AMCC166665
197,Pangshura_tentoria_HBS116255
198,Pelochelys_bibroni_HBS118593
199,Pelochelys_cantorii_HBS125640
200,Pelodiscus_sinensis_AMNH106666
201,Pelomedusa_ssubrufa_HBS119094
202,Peltocephalus_dumerilianus_HBS117944
203,Pelusios_adansonii_HBS123099
204,Pelusios_bechuanicus_HBS119021
205,Pelusios_broadleyi_AMCC183062
206,Pelusios_carinatus_HBS123638
207,Pelusios_castaneus_CAS219222
208,Pelusios_castanoides_HBS117686
209,Pelusios_chapini_AMCC183067
210,Pelusios_gabonensis_ROM19952
211,Pelusios_niger_HBS125084
212,Pelusios_rhodesianus_AMCC183070
213,Pelusios_sinuatus_HBS112703
214,Pelusios_subniger_HBS112754
215,Pelusios_williamsi_AMCC183072
216,Phrynops_geoffroanus_HBS119012
217,Phrynops_hilarii_HBS112452
218,Phrynops_tuberosus_LACM183231
219,Phrynops_williamsi_HBS123589
220,Platemys_platycephala_HBS121007
221,Platysternon_megacephalum_HBS16255
222,Podocnemis_erythrocephala_HBS116250
223,Podocnemis_expansa_HBS117929
224,Podocnemis_sextuberculata_HBS117925
225,Podocnemis_unifilis_HBS119089
226,Podocnemis_vogli_AMCC183078
227,Psammobates_oculifer_HBS118601
228,Psammobates_tverroxi_HBS112455
229,Pseudemys_alabamensis_HBS117816
230,Pseudemys_cfloridana_HBS108682
231,Pseudemys_concinna_HBS117856
232,Pseudemys_csuwanniensis_HBS108591
233,Pseudemys_gorzugi_HBS117907
234,Pseudemys_nelsoni_HBS108599
235,Pseudemys_peninsularis_CRI13953
236,Pseudemys_rubriventris_USNM544373
237,Pseudemys_texana_RCT2
238,Pyxis_aarachnoides_HBS117734
239,Pyxis_planicauda_HBS117740
240,Rafetus_sp_AMNH200163
241,Rheodytes_leukops_239
242,Rhinoclemmys_annulata_USNM281878
243,Rhinoclemmys_areolata_HBS108667
244,Rhinoclemmys_diademata_HBS118631
245,Rhinoclemmys_funerea_USNM559587
246,Rhinoclemmys_melanosterna_HBS118626
247,Rhinoclemmys_pulcherrima_AMNH168669
248,Rhinoclemmys_punctularia_HBS123633
249,Rhinoclemmys_rubida_HBS112647
250,Sacalia_bealei_HBS108668
251,Sacalia_quadriocellata_FMNH256542
252,Siebenrockiella_crassicollis_FMNH259053
253,Siebenrockiella_leytensis_LACM183228
254,Staurotypus_salvinii_HBS108669
255,Staurotypus_triporcatus_HBS117468
256,Sternotherus_carinatus_RCT21
257,Sternotherus_depressus_HBS116244
258,Sternotherus_minor_minor_RCT53
259,Sternotherus_odoratus_CAS214343
260,Stigmochelys_pardalis_HBS109888
261,Terrapene_carolina_HBS108689
262,Terrapene_coahuila_CD3304
263,Terrapene_nelsoni_Clm5_9
264,Terrapene_oluteola_HBS108701
265,Testudo_graeca_HBS119114
266,Testudo_hermanni_MVZ244866
267,Testudo_horsfieldi_HBS117909
268,Testudo_kleinmanni_MVZ230631
269,Testudo_marginata_HBS121593
270,Trachemys_adiutrix_HBS117931
271,Trachemys_callirostris_HBS123591
272,Trachemys_decorata_JFP598
273,Trachemys_decussata_JFP629
274,Trachemys_dorbigni_HBS123595
275,Trachemys_emolli_HBS117899
276,Trachemys_gaigeae_TNHC50874
277,Trachemys_grayi_MVZ263975
278,Trachemys_nebulosa_MVZ137443
279,Trachemys_selegans_HBS23001
280,Trachemys_sscripta_HBS108687
281,Trachemys_stejnegeri_HBS108728
282,Trachemys_taylori_0604LG047
283,Trachemys_terrapen_JFP569
284,Trachemys_venusta_HBS117896
285,Trionyx_triunguis_Tt24
286,Vijayachelys_silvatica_FMNH224188